Order Number	Country	Product	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Sales	COGS	Profit	Date
501-525-519	Japanl	Kensington	" £1,372 "	 £3.00 	 £20.00 	" £27,440.00 "	" £27,440.00 "	" £16,185.00 "	" £11,255.00 "	1/1/2019
504-480-367	India	Kensington	" £2,762 "	 £3.00 	 £20.00 	" £55,240.00 "	" £55,240.00 "	" £13,210.00 "	" £42,030.00 "	1/1/2019
518-404-302	United Kingdom	Kensington	" £1,464 "	 £3.00 	 £15.00 	" £21,960.00 "	" £21,960.00 "	" £21,780.00 "	 £180.00 	1/6/2019
532-695-383	India	Kensington	 £719 	 £3.00 	 £15.00 	" £10,785.00 "	" £10,785.00 "	" £8,880.00 "	" £1,905.00 "	1/6/2019
649-407-373	Brazil	Kensington	" £3,576 "	 £3.00 	 £15.00 	" £53,640.00 "	" £53,640.00 "	" £24,700.00 "	" £28,940.00 "	1/6/2019
541-583-319	India	Kensington	" £4,422 "	 £3.00 	 £350.00 	" £1,547,700.00 "	" £1,547,700.00 "	" £393,380.00 "	" £1,154,320.00 "	1/12/2019
619-694-528	India	Royal Oak	" £3,649 "	 £5.00 	 £15.00 	" £54,735.00 "	" £54,735.00 "	" £9,210.00 "	" £45,525.00 "	1/3/2019
543-428-344	Japan	Royal Oak	" £4,172 "	 £5.00 	 £12.00 	" £50,064.00 "	" £50,064.00 "	" £7,554.00 "	" £42,510.00 "	1/6/2019
575-510-412	United Kingdom	Royal Oak	" £3,841 "	 £5.00 	 £20.00 	" £76,820.00 "	" £76,820.00 "	" £18,990.00 "	" £57,830.00 "	1/6/2019
514-502-434	India	Royal Oak	" £3,726 "	 £5.00 	 £12.00 	" £44,712.00 "	" £44,712.00 "	" £4,635.00 "	" £40,077.00 "	1/6/2019
708-433-545	Brazil	Royal Oak	" £2,625 "	 £5.00 	 £15.00 	" £39,375.00 "	" £39,375.00 "	" £24,700.00 "	" £14,675.00 "	1/6/2019
695-508-456	Japan	Royal Oak	" £1,958 "	 £5.00 	 £125.00 	" £244,750.00 "	" £244,750.00 "	" £319,860.00 "	"-£75,110.00 "	1/7/2019
773-607-331	Brazil	Royal Oak	" £3,271 "	 £5.00 	 £300.00 	" £981,300.00 "	" £981,300.00 "	" £239,500.00 "	" £741,800.00 "	1/8/2019
704-392-395	India	Royal Oak	" £2,091 "	 £5.00 	 £7.00 	" £14,637.00 "	" £14,637.00 "	" £10,730.00 "	" £3,907.00 "	1/9/2019
628-401-333	Japan	Royal Oak	" £2,530 "	 £5.00 	 £125.00 	" £316,250.00 "	" £316,250.00 "	" £41,400.00 "	" £274,850.00 "	1/10/2018
774-599-297	United States of America	Royal Oak	" £2,825 "	 £5.00 	 £15.00 	" £42,375.00 "	" £42,375.00 "	" £6,150.00 "	" £36,225.00 "	1/12/2019
563-574-367	Japan	Vermouth	" £2,513 "	 £10.00 	 £20.00 	" £50,260.00 "	" £50,260.00 "	" £2,920.00 "	" £47,340.00 "	1/2/2019
625-446-339	Brazil	Vermont	 £883 	 £10.00 	 £15.00 	" £13,245.00 "	" £13,245.00 "	" £9,740.00 "	" £3,505.00 "	1/2/2019
513-596-464	Japan	Vermont	" £2,087 "	 £10.00 	 £12.00 	" £25,044.00 "	" £25,044.00 "	" £7,554.00 "	" £17,490.00 "	1/6/2019
786-672-371	India	Vermont	" £2,563 "	 £10.00 	 £350.00 	" £897,050.00 "	" £897,050.00 "	" £261,560.00 "	" £635,490.00 "	1/6/2019
456-445-353	India	Vermont	" £2,846 "	 £10.00 	 £12.00 	" £34,152.00 "	" £34,152.00 "	" £1,101.00 "	" £33,051.00 "	1/7/2019
606-401-331	Brazil	Vermont	 £997 	 £10.00 	 £7.00 	" £6,979.00 "	" £6,979.00 "	" £4,415.00 "	" £2,564.00 "	1/8/2019
731-652-442	United Kingdom	Vermont	" £3,421 "	 £10.00 	 £15.00 	" £51,315.00 "	" £51,315.00 "	" £5,490.00 "	" £45,825.00 "	1/9/2018
572-684-301	Brazilo	Vermont	" £2,291 "	 £10.00 	 £300.00 	" £687,300.00 "	" £687,300.00 "	" £197,000.00 "	" £490,300.00 "	1/9/2018
560-672-469	Brazil	Vermont	" £2,291 "	 £10.00 	 £300.00 	" £687,300.00 "	" £687,300.00 "	" £197,000.00 "	" £490,300.00 "	1/9/2018
466-641-290	Brazil	Vermont	" £2,290 "	 £10.00 	 £15.00 	" £34,350.00 "	" £34,350.00 "	" £24,720.00 "	" £9,630.00 "	1/9/2019
510-553-294	United States of America	Vermont	" £2,133 "	 £10.00 	 £7.00 	" £14,931.00 "	" £14,931.00 "	" £5,715.00 "	" £9,216.00 "	1/10/2019
